title,price,rating,reviews,availability
Xbox Series X,"₹52,990.00",4.9 out of 5 stars,374 ratings,Not Available
Xbox Series S,"₹31,900.00",4.6 out of 5 stars,"1,541 ratings",Not Available
(Renewed) Xbox Series S,"₹25,500.00",3.6 out of 5 stars,22 ratings,Not Available
Xbox series S With Extra Controller 512 GB (White),Page 1 of 1,4.2 out of 5 stars,26 ratings,Not Available
Grand Theft V - Premium Edition (Xbox One),"₹1,799.00",4.4 out of 5 stars,203 ratings,Not Available
Call Of Duty : Modern Warfare II | Cross Gen Edition | Xbox Series X / One,"₹5,999.00",2.6 out of 5 stars,3 ratings,Not Available
Cricket 22 International Edition (Xbox),"₹1,899.00",2.9 out of 5 stars,16 ratings,Not Available
"(Renewed) Microsoft Xbox One S Devil May Cry 5 Special Edition Bundle, 1Tb (Gradient Purple)","₹36,273.00",Previous page,,Not Available
Microsoft Xbox Series X/S Wireless Controller + USB-C Cable,"₹5,390.00",4.4 out of 5 stars,400 ratings,Not Available
Xbox Game Pass Ultimate: 1 Month Membership (Xbox/ Windows 10/11),"₹1,099.00",4.1 out of 5 stars,55 ratings,Not Available
Microsoft Xbox X/S Wireless Controller Robot White,"₹5,390.00",4.5 out of 5 stars,892 ratings,Not Available
"NiTHO Drive PRO One Gaming Racing Wheel with Separate Shifter and Pedals, Zero Dead Zone Steering Wheel with 28 Action Buttons, Compatible with PC/PS4/PS3/Xbox One/Xbox Series X|S/Nintendo Switch","₹9,999.00",Previous page,,Not Available
Microsoft Xbox Series X/S Wireless Controller   Carbon Black,"₹5,299.00",4.5 out of 5 stars,567 ratings,Not Available
XBOX Play and Charge Kit V2 (TYPE-C),"₹2,119.00",4.6 out of 5 stars,232 ratings,Not Available
"6Pair Replacement Controller Joystick Thumb Stick Cover Caps Grips for PS4, Xbox, Xbox 1 for Enhance Gaming",₹299.00,3.9 out of 5 stars,690 ratings,Not Available
"Microsoft Wireless Controller - Mineral Camo for Xbox Series X, Xbox Series S, and Xbox One","₹6,800.00",4.5 out of 5 stars,50 ratings,Not Available
